30 , +6.00  , +1.711987E-1  , +1.000000E-6  , +3.005136E-2  , +3.005210E-2  , +3.005060E-2  , +5.083306E-7  , 3.005136E+4 , 1.71 , +3.510000E+0  , +3.510000E-6  , +1.155696E-2  , +3.480000E+0  , +3.480000E-6  , +1.198122E-2  , 
31 , +8.00  , +2.282649E-1  , +1.000000E-6  , +3.005844E-2  , +3.005910E-2  , +3.005780E-2  , +4.882622E-7  , 3.005844E+4 , 1.73 , +3.470000E+0  , +3.470000E-6  , +1.187845E-2  , +3.540000E+0  , +3.540000E-6  , +1.150739E-2  , 
32 , +10.00  , +2.853311E-1  , +1.000000E-6  , +3.006524E-2  , +3.006620E-2  , +3.006460E-2  , +5.748043E-7  , 3.006524E+4 , 1.76 , +3.360000E+0  , +3.360000E-6  , +1.174309E-2  , +3.400000E+0  , +3.400000E-6  , +1.123662E-2  , 
33 , +12.00  , +3.423974E-1  , +1.000000E-6  , +3.007188E-2  , +3.007230E-2  , +3.007100E-2  , +4.621688E-7  , 3.007188E+4 , 1.78 , +3.290000E+0  , +3.290000E-6  , +1.137083E-2  , +3.320000E+0  , +3.320000E-6  , +1.103355E-2  , 
34 , +14.00  , +3.994636E-1  , +1.000000E-6  , +3.007840E-2  , +3.007930E-2  , +3.007770E-2  , +5.761944E-7  , 3.007840E+4 , 1.80 , +3.295000E+0  , +3.295000E-6  , +1.113394E-2  , +3.260000E+0  , +3.260000E-6  , +1.127047E-2  , 
35 , +16.00  , +4.565298E-1  , +1.000000E-6  , +3.008506E-2  , +3.008600E-2  , +3.008420E-2  , +6.974238E-7  , 3.008506E+4 , 1.82 , +3.465000E+0  , +3.465000E-6  , +1.115086E-2  , +3.330000E+0  , +3.330000E-6  , +1.218429E-2  , 
36 , +18.00  , +5.135960E-1  , +1.000000E-6  , +3.009226E-2  , +3.009370E-2  , +3.009150E-2  , +7.552483E-7  , 3.009226E+4 , 1.85 , +3.550000E+0  , +3.550000E-6  , +1.172617E-2  , +3.600000E+0  , +3.600000E-6  , +1.184584E-2  , 
37 , +20.00  , +5.706623E-1  , +1.000000E-6  , +3.009926E-2  , +3.009980E-2  , +3.009820E-2  , +5.713143E-7  , 3.009926E+4 , 1.87 , +3.425000E+0  , +3.425000E-6  , +1.201382E-2  , +3.500000E+0  , +3.500000E-6  , +1.133816E-2  , 
38 , +22.00  , +6.277285E-1  , +1.000000E-6  , +3.010596E-2  , +3.010670E-2  , +3.010510E-2  , +5.238320E-7  , 3.010596E+4 , 1.89 , +3.380000E+0  , +3.380000E-6  , +1.159080E-2  , +3.350000E+0  , +3.350000E-6  , +1.154123E-2  , 
39 , +24.00  , +6.847947E-1  , +1.000000E-6  , +3.011278E-2  , +3.011360E-2  , +3.011170E-2  , +6.615134E-7  , 3.011278E+4 , 1.92 , +3.490000E+0  , +3.490000E-6  , +1.143851E-2  , +3.410000E+0  , +3.410000E-6  , +1.208276E-2  , 
40 , +26.00  , +7.418609E-1  , +1.000000E-6  , +3.011992E-2  , +3.012110E-2  , +3.011870E-2  , +8.953212E-7  , 3.011992E+4 , 1.94 , +3.445000E+0  , +3.445000E-6  , +1.181077E-2  , +3.570000E+0  , +3.570000E-6  , +1.123662E-2  , 
