mass_A
t	x	y
5.300000000E0	-1.788918496E-1	-9.734929512E-3
5.333333333E0	-1.767211186E-1	-9.995450185E-3
5.366666667E0	-1.711780882E-1	-1.007788019E-2
5.400000000E0	-1.682441035E-1	-1.085062825E-2
5.433333333E0	-1.617505346E-1	-1.094937860E-2
5.466666667E0	-1.575412995E-1	-1.115706778E-2
5.500000000E0	-1.527505065E-1	-1.080643989E-2
5.533333333E0	-1.479358325E-1	-1.107171788E-2
5.566666667E0	-1.434733008E-1	-1.085412218E-2
5.600000000E0	-1.397669242E-1	-1.115856008E-2
5.633333333E0	-1.361086544E-1	-1.103158416E-2
5.666666667E0	-1.328159809E-1	-1.100559479E-2
5.700000000E0	-1.304721299E-1	-1.085235131E-2
5.733333333E0	-1.279227293E-1	-1.091464389E-2
5.766666667E0	-1.266582319E-1	-1.081328709E-2
5.800000000E0	-1.260360760E-1	-1.077826616E-2
5.833333333E0	-1.260318993E-1	-1.075203057E-2
5.866666667E0	-1.261994387E-1	-1.078247744E-2
5.900000000E0	-1.264854698E-1	-1.080508579E-2
5.933333333E0	-1.277223317E-1	-1.080863927E-2
5.966666667E0	-1.305375143E-1	-1.028752947E-2
6.000000000E0	-1.326255122E-1	-4.223223599E-3
6.033333333E0	-1.352017033E-1	-4.404279857E-3
6.066666667E0	-1.386497475E-1	-4.248916552E-3
6.100000000E0	-1.419277794E-1	-4.538789380E-3
6.133333333E0	-1.455022645E-1	-4.435460809E-3
6.166666667E0	-1.490620756E-1	-4.422087232E-3
6.200000000E0	-1.523082612E-1	-4.313305072E-3
6.233333333E0	-1.557318496E-1	-4.274604941E-3
6.266666667E0	-1.588315785E-1	-4.163255317E-3
6.300000000E0	-1.620598033E-1	-4.005849290E-3
6.333333333E0	-1.646524486E-1	-4.176545091E-3
6.366666667E0	-1.677218666E-1	-3.990986140E-3
6.400000000E0	-1.697463558E-1	-3.945213599E-3
6.433333333E0	-1.710985204E-1	-3.772873678E-3
6.466666667E0	-1.719970458E-1	-3.852523220E-3
6.500000000E0	-1.723605191E-1	-3.757998219E-3
6.533333333E0	-1.725982238E-1	-3.851595110E-3
6.566666667E0	-1.724416094E-1	-3.841863320E-3
6.600000000E0	-1.719341918E-1	-3.896552731E-3
6.633333333E0	-1.710713470E-1	-3.890782578E-3
6.666666667E0	-1.697223065E-1	-3.928595502E-3
6.700000000E0	-1.678782673E-1	-3.981325745E-3
6.733333333E0	-1.652995106E-1	-4.213361901E-3
6.766666667E0	-1.625933075E-1	-4.340680628E-3
6.800000000E0	-1.599967011E-1	-4.228349975E-3
6.833333333E0	-1.575424677E-1	-4.316247666E-3
6.866666667E0	-1.549541192E-1	-4.371957640E-3
6.900000000E0	-1.522944750E-1	-4.424650855E-3
6.933333333E0	-1.498639599E-1	-4.325393089E-3
6.966666667E0	-1.473230427E-1	-4.504356550E-3
7.000000000E0	-1.449967085E-1	-4.513540277E-3
7.033333333E0	-1.429463535E-1	-4.639583760E-3
7.066666667E0	-1.410097772E-1	-4.502953777E-3
7.100000000E0	-1.393572406E-1	-4.579856620E-3
7.133333333E0	-1.381684195E-1	-4.450722451E-3
7.166666667E0	-1.375010867E-1	-4.581337458E-3
7.200000000E0	-1.369578542E-1	-4.543475777E-3
7.233333333E0	-1.368631229E-1	-4.545436489E-3
7.266666667E0	-1.370269096E-1	-4.594733000E-3
7.300000000E0	-1.374362563E-1	-4.589012877E-3
7.333333333E0	-1.382912027E-1	-4.621575971E-3
7.366666667E0	-1.393360690E-1	-4.575339948E-3
7.400000000E0	-1.409643172E-1	-4.552035563E-3
7.433333333E0	-1.424345678E-1	-4.628852884E-3
7.466666667E0	-1.443995465E-1	-4.672108713E-3
7.500000000E0	-1.464782533E-1	-4.409663418E-3
7.533333333E0	-1.481453778E-1	-4.587893410E-3
7.566666667E0	-1.498269408E-1	-4.513038676E-3
7.600000000E0	-1.517712357E-1	-4.681877053E-3
7.633333333E0	-1.538615815E-1	-4.359616109E-3
7.666666667E0	-1.555658633E-1	-4.517241635E-3
7.700000000E0	-1.574117150E-1	-4.240281206E-3
7.733333333E0	-1.588851372E-1	-4.392749918E-3
7.766666667E0	-1.601295404E-1	-4.242800253E-3
7.800000000E0	-1.610178840E-1	-4.552617002E-3
7.833333333E0	-1.618582965E-1	-4.365223835E-3
7.866666667E0	-1.621444785E-1	-4.646932634E-3
7.900000000E0	-1.627312265E-1	-4.345000109E-3
7.933333333E0	-1.628636924E-1	-4.364378857E-3
7.966666667E0	-1.628293953E-1	-4.317245690E-3
8.000000000E0	-1.625698529E-1	-4.367963382E-3
8.033333333E0	-1.620910462E-1	-4.316863837E-3
8.066666667E0	-1.610677205E-1	-4.279110486E-3
8.100000000E0	-1.599827574E-1	-4.281443681E-3
